neo4j 1.9.9 - 2.0.0	SpecificField	UnhandledException	EnableBadOrNewInput
neo4j 1.9.9 - 2.0.0	Always	ValueChange	ChangeDefaultSetting
neo4j 1.9.9 - 2.0.0(4)	Trivial	UnhandledException	EnforceRules
neo4j 1.9.9 - 2.0.0	Always	UnhandledException	EnforceRules
neo4j 1.9.9 - 2.0.0	Always	UnhandledException	EnforceRules
snakeyaml 1.3-1.4(14)	Always	ValueChange	OutputFormatChange
snakeyaml 1.3-1.4	Trivial	NoException	EnableBadOrNewInput
snakeyaml 1.3-1.4(7)	Always	ValueChange	ErrorMessage
snakeyaml 1.3-1.4(3)	Trivial	UnhandledException	EnforceRules
snakeyaml 1.3-1.4	Always	UnhandledException	SignatureChangeReflection
snakeyaml 1.4-1.5(8)	Always	ValueChange	OutputFormatChange
snakeyaml 1.4-1.5	Always	TypeChange	InternalStructureOpt
snakeyaml 1.4-1.5	Always	ValueChange	OutputFormatChange
snakeyaml 1.4-1.5(2)	Always	ValueChange	ErrorMessage
snakeyaml 1.4-1.5	Always	ValueChange	ChangeDefaultSetting
snakeyaml 1.4-1.5	Always	ValueChange	ChangeDefaultSetting
snakeyaml 1.5-1.6 (11)	Always	ValueChange	OutputFormatChange
snakeyaml 1.5-1.6	Always	ValueChange	OutputFormatChange
snakeyaml 1.5-1.6	Always	StructureChange	InternalStructureOpt
snakeyaml 1.5-1.6	Always	ValueChange	ErrorMessage
snakeyaml 1.5-1.6 (3)	SpecificField	UnhandledException	APIPatternChange
snakeyaml 1.5-1.6	Always	TypeChange	InternalStructureOpt
snakeyaml 1.6-1.7	Always	ValueChange	OutputFormatChange
snakeyaml 1.6-1.7	Always	ValueChange	ErrorMessage
snakeyaml 1.6-1.7(2)	Always	ValueChange	ErrorMessage
snakeyaml 1.6-1.7	Always	ValueChange	ErrorMessage
snakeyaml 1.6-1.7	MultipleAPI	ValueChange	OutputFormatChange
snakeyaml 1.6-1.7	MultipleAPI	UnhandledException	EnforceRules
snakeyaml 1.6-1.7	Always	ValueChange	ErrorMessage
snakeyaml 1.7-1.8	SpecificField	NoException	EnableBadOrNewInput
snakeyaml 1.7-1.8	SpecificField	UnhandledException	ReportError
snakeyaml 1.7-1.8(2)	Always	ValueChange	ErrorMessage
snakeyaml 1.7-1.8	Always	ValueChange	ErrorMessage
snakeyaml 1.7-1.8	SpecialType	UnhandledException	ReportError
snakeyaml 1.8-1.9(2)	SpecialType	ValueChange	ErrorMessage
snakeyaml 1.8-1.9(4)	SpecialType	ValueChange	OutputFormatChange
snakeyaml 1.8-1.9	SpecialType	ValueChange	ErrorMessage
snakeyaml 1.8-1.9(2)	SpecialType	NoException	EnableBadOrNewInput
snakeyaml 1.9-1.A	StringFormat	ValueChange	OutputFormatChange
snakeyaml 1.9-1.A	SpecificField	ValueChange	OutputFormatChange
snakeyaml 1.9-1.A	SpecificField	ValueChange	OutputFormatChange
snakeyaml 1.9-1.A	SpecificValue	ValueChange	OutputFormatChange
snakeyaml 1.A-1.B	SpecificField	ValueChange	ErrorMessage
snakeyaml 1.A-1.B	SpecialType	ValueChange	ErrorMessage
snakeyaml 1.A-1.B	SpecificValue	ValueChange	ErrorMessage
snakeyaml 1.A-1.B	ErrorException	ValueChange	ErrorMessage
snakeyaml 1.A-1.B	Always	ValueChange	OutputFormatChange
snakeyaml 1.A-1.B(2)	Always	ValueChange	OutputFormatChange
snakeyaml 1.A-1.B	SpecificValue	NoException	APIPatternChange
snakeyaml 1.A-1.B(14)	SpecificValue	ValueChange	ErrorMessage
snakeyaml 1.A-1.B(3)	Always	UnhandledException	SignatureChangeReflection
snakeyaml 1.A-1.B	ErrorException	UnhandledException	DifferentException
snakeyaml 1.A-1.B(2)	Always	ValueChange	OutputFormatChange
snakeyaml 1.A-1.B	SpecificValue	ValueChange	MoreReasonableBehavior
Jodatime 2.0-2.1	Always	ValueChange	OutputFormatChange
Jodatime 2.0-2.1	Always	ValueChange	OutputFormatChange
Jodatime 2.1-2.2(2)	ErrorException	UnhandledException	DifferentException
Jodatime 2.1-2.2(3)	Always	ValueChange	OutputFormatChange
Jodatime 2.1-2.2(2)	Always	UnhandledException	InputFormatChange
Jodatime 2.2-2.3	SpecificValue	ValueChange	EnableBadOrNewInput
Jodatime 2.3-2.4	Trivial	ValueChange	ReportError
Jodatime 2.3-2.4	Trivial	ValueChange	ReportError
Jodatime 2.3-2.4	Trivial	ValueChange	ReportError
Jodatime 2.3-2.4	Trivial	ValueChange	ReportError
